ds,yhat,yhat_lower,yhat_upper
2024-04-12,6639.3364659698545,-128.29954993392204,13873.76889914785
2024-04-13,7065.468097123283,401.4699609877458,13162.231315298077
2024-04-14,8292.115543062966,1798.575293842798,14940.181451201905
2024-04-15,7249.409301649986,770.7333013681122,14036.264394152882
2024-04-16,6739.322937696242,390.87470207455766,12920.884462529995
2024-04-17,6937.32100718358,49.51093779527221,13702.794225736372
2024-04-18,7361.567582079088,648.5102595950295,14258.250919960843
2024-04-19,6923.066222103618,491.87918636766295,14083.057724327418
2024-04-20,7443.99446181194,953.1499766292536,14209.477207381397
2024-04-21,8761.391459191058,2079.028967625441,15603.192697831004
2024-04-22,7802.896249807301,1015.4038195165253,13830.63340457107
2024-04-23,7368.076935997209,519.2847128305815,13971.230531865272
2024-04-24,7630.142045679651,706.9314343983407,13846.520929293274
2024-04-25,8105.209870186773,1616.0005627046087,14610.342145950995
2024-04-26,7702.5050113446705,695.1714363922368,14812.130584638166
2024-04-27,8242.74368014061,1384.1662972882127,14933.258994609752
2024-04-28,9561.864998369872,3172.4393546594574,16633.505590202763
2024-04-29,8586.804522414623,1754.6440266771797,15417.201225986939
2024-04-30,8116.849297319157,1193.9481085804653,14242.469856156466
2024-05-01,8325.364887567424,1756.5358883468252,14984.885921965304
2024-05-02,8729.069661350039,2251.2190378715777,15236.913579093067
2024-05-03,8238.225298646526,1145.1671707019705,15061.434739129003
2024-05-04,8675.00508688287,2093.983584637361,15172.296804688787
2024-05-05,9877.19756083278,3076.5775833429643,16435.80635127619
2024-05-06,8773.942288867538,1944.7578177433388,15764.907848710413
2024-05-07,8167.03796168588,1299.1338577227402,15239.549920491942
2024-05-08,8232.614322511921,1932.2929797834165,15653.611029997814
2024-05-09,8490.34452600517,1293.8359969123464,15602.08724101539
2024-05-10,7853.568391703291,952.6752347496221,14422.23842799075
2024-05-11,8147.589758519591,711.7281966726115,15293.847618372996
2024-05-12,9213.307245178918,2512.783636047414,15902.683685440992
2024-05-13,7982.877025504349,1576.8653938925695,14998.5211910132
2024-05-14,7260.949599072807,-75.38268654838876,13743.889524677295
2024-05-15,7226.273881040917,134.78946085807118,13905.034661411239
2024-05-16,7400.846906810677,662.1734920289207,14292.847131779608
2024-05-17,6699.981198656944,36.308453083314994,13374.884535044768
2024-05-18,6950.5544155062125,134.1415855749574,13567.082746076083
2024-05-19,7994.6018008777655,998.000726437657,14409.257670070914
2024-05-20,6764.951013509639,147.894188995633,13720.412254758403
2024-05-21,6066.442030577593,-810.6851322141808,12370.374266095354
2024-05-22,6077.525881190275,-766.0005124574739,12910.820608153434
2024-05-23,6319.420643123167,-334.5726351990295,12980.631954596718
2024-05-24,5706.196592321794,-1158.093454051028,11919.72862154293
2024-05-25,6063.054676314121,-819.9813074582954,13234.539431361749
2024-05-26,7229.958095666369,648.9067964112128,13948.348373472867
2024-05-27,6137.3155857260945,-932.2540180977743,12679.42165169543
2024-05-28,5587.257860870484,-1033.3078974529208,11604.62391348011
2024-05-29,5755.29954820244,-1055.389833017374,11911.50586616565
2024-05-30,6159.563447267377,-238.30626156651354,13232.959021236209
2024-05-31,5710.937285741069,-1423.151836903388,12882.169071519855
2024-06-01,6231.425344182248,-539.0767248799442,12901.641568427767
2024-06-02,7557.852904938138,874.9556971768197,14873.820808836406
2024-06-03,6617.6203053066365,-333.4809100248672,13387.210690196298
2024-06-04,6210.0463090785215,-493.64197270431487,12827.846077389026
2024-06-05,6508.091485140298,-63.63949765317311,13229.177056900564
2024-06-06,7027.636943459318,207.56700760234827,13804.87785062814
2024-06-07,6677.687302583699,627.3142445647629,13205.078489950489
2024-06-08,7278.759189115996,560.4405427435131,14105.969744915275
2024-06-09,8666.61240206402,1959.4873357492165,15461.511837879518
2024-06-10,7768.0199702285445,1357.6943379222257,14618.04559228453
2024-06-11,7382.11654740133,885.0539848830606,13792.914905683752
2024-06-12,7682.115854246725,1029.303544485409,14629.51042493376
2024-06-13,8184.57282110212,2117.4511486350666,15615.874892468493
2024-06-14,7799.559886173013,1051.2699366381264,14254.001432623108
2024-06-15,8349.019587091858,1453.8751842083022,14683.370183167513
2024-06-16,9670.451649149363,2805.9455644968248,16457.429341273262
2024-06-17,8692.632071181057,1780.551903621268,15872.326142738531
2024-06-18,8216.905093648373,1610.3464918073491,15086.836015064724
2024-06-19,8418.840322416461,1524.2344853346146,15305.819330311175
2024-06-20,8817.432311951014,1556.1918516230228,15113.101467154935
2024-06-21,8325.213748086717,1425.1474404060411,14988.52921158967
2024-06-22,8766.546046342675,1761.8186973488519,15082.0602098543
2024-06-23,9981.247193271633,2936.743878639225,16761.930080651553
2024-06-24,8900.255858809864,1877.9204567259817,15522.3600482436
2024-06-25,8326.874053194117,1464.8739344490286,15375.819985968968
2024-06-26,8438.381816834995,1623.0305377648747,14792.099713917805
2024-06-27,8755.202255960432,2100.293255013891,15736.680141271569
2024-06-28,8190.988842187032,1224.3119073103455,15345.992417559755
